"rep","flow","fao_group","max_scheda"
"104","1","6",1118
"104","1","7",111
"104","1","8",111
"104","1","9",1156
"104","1","A",1110
"108","2","1",1149
"108","2","2",1117
"108","2","3",1115
"108","2","4",111
"108","2","A",1110
"108","1","1",1179
"108","1","2",1124
"108","1","3",1134
"108","1","4",1133
"108","1","5",1116
"108","1","6",1112
"108","1","7",1112
"108","1","8",111
"108","1","9",1112
"108","1","A",1113
"112","2","1",1395
"112","2","2",1167
"112","2","3",1158
"112","2","4",1162
"112","2","5",1133
"112","2","6",1113
"112","2","7",111
"112","2","8",1111
"112","2","9",1115
"112","2","A",1112
"112","1","1",1674
"112","1","2",1177
"112","1","3",1265
"112","1","4",1207
"112","1","5",1144
"112","1","6",1122
"112","1","7",1114
"112","1","8",1113
"112","1","9",1119
"112","1","A",1114
"116","2","1",1287
"116","2","2",1151
"116","2","3",1276
"116","2","4",1125
"116","2","7",111
"116","2","8",1111
"116","2","9",1119
"116","2","A",1111
"116","1","1",1247
"116","1","2",1129
"116","1","3",1287
"116","1","4",1229
"116","1","5",1159
"116","1","6",1116
"116","1","7",1113
"116","1","8",1112
"116","1","9",1131
"116","1","A",1110
"120","2","1",1186
"120","2","2",1228
"120","2","3",1168
"120","2","4",1151
"120","2","5",1112
"120","2","6",111
"120","2","7",111
"120","2","8",111
"120","2","9",1115
"120","2","A",1110
"120","1","1",1339
"120","1","2",1226
"120","1","3",1197
"120","1","4",1221
"120","1","5",1158
"120","1","6",1113
"120","1","7",111
"120","1","8",1111
"120","1","9",1117
"120","1","A",1110
"124","2","1",2636
"124","2","2",1515
"124","2","3",1442
"124","2","4",1271
"124","2","5",1188
"124","2","6",116
"124","2","7",112
"124","2","8",1112
"124","2","9",1114
"124","2","A",1110
"124","1","1",2626
"124","1","2",1514
"124","1","3",1459
"124","1","4",1209
"124","1","5",1212
"124","1","6",1186
"124","1","7",1124
"124","1","8",1122
"124","1","9",1118
"124","1","A",1142
"124","3","1",11844
"124","3","2",11315
"124","3","3",11239
"124","3","4",11112
"124","3","5",11104
"124","3","6",11102
"124","3","7",1111
"124","3","8",1111
"124","3","9",1113
"124","3","A",1110
"132","2","1",1147
"132","2","2",1113
"132","2","3",1121
"132","2","4",1118
"132","2","5",111
"132","2","6",111
"132","2","7",1111
"132","2","8",111
"132","1","1",1214
"132","1","2",1131
"132","1","3",1144
"132","1","4",1142
"132","1","5",1126
"132","1","6",1112
"132","1","7",111
"132","1","8",111
"132","1","9",1113
"132","1","A",1110
"132","3","1",1142
"132","3","2",1114
"132","3","3",1128
"132","3","4",1116
"132","3","5",1117
"132","3","9",111
"136","2","1",115
"136","2","3",1111
"136","1","1",111
"136","1","2",111
"136","1","3",111
"136","1","4",111
"136","1","5",111
"140","2","2",1111
"140","2","4",1111
"140","1","1",1157
"140","1","2",1172
"140","1","3",1151
"140","1","4",1117
"140","1","5",1112
"140","1","6",1111
"140","1","7",111
"140","1","8",111
"140","1","9",111
"144","2","1",11135
"144","2","2",11223
"144","2","3",11291
"144","2","4",11107
"144","2","5",11109
"144","2","6",11132
"144","2","7",111
"144","2","8",1116
"144","2","9",1113
"144","2","A",1114
"144","1","1",11127
"144","1","2",11224
"144","1","3",11142
"144","1","4",11118
"144","1","5",11123
"144","1","6",11134
"144","1","7",111
"144","1","8",1116
"144","1","9",1115
"144","1","A",1115
"144","3","1",11107
"144","3","2",11115
"144","3","3",11122
"144","3","4",1111
"144","3","6",111
"144","3","A",1110
"148","2","2",111
"148","1","1",1149
"148","1","2",1124
"148","1","3",1139
"148","1","4",1139
"148","1","5",1115
"148","1","6",1111
"148","1","7",111
"148","1","8",1111
"148","1","9",1111
"152","2","1",2145
"152","2","2",1216
"152","2","3",1669
"152","2","4",1257
"152","2","5",1431
"152","2","6",1115
"152","2","7",1119
"152","2","8",1113
"152","2","9",1137
"152","2","A",1115
"152","1","1",1437
"152","1","2",1154
"152","1","3",1256
"152","1","4",1149
"152","1","5",1219
"152","1","6",1116
"152","1","7",1119
"152","1","8",1113
"152","1","9",1136
"152","1","A",1115
"156","2","1",1309
"156","2","2",1144
"156","2","3",1272
"156","2","4",1136
"156","2","5",1136
"156","2","6",1113
"156","2","7",1112
"156","2","8",1113
"156","2","9",1139
"156","2","A",1113
"156","1","1",1329
"156","1","2",1141
"156","1","3",1279
"156","1","4",1135
"156","1","5",1139
"156","1","6",1112
"156","1","7",1112
"156","1","8",1113
"156","1","9",1143
"156","1","A",1113
"158","2","1",11334
"158","2","2",11155
"158","2","3",11343
"158","2","4",11147
"158","2","5",11155
"158","2","6",11101
"158","2","7",11111
"158","2","8",1122
"158","2","9",1162
"158","2","A",1128
"158","1","1",11213
"158","1","2",11147
"158","1","3",11671
"158","1","4",11163
"158","1","5",11165
"158","1","6",11115
"158","1","7",11112
"158","1","8",1124
"158","1","9",1168
"158","1","A",1130
"158","3","1",1183
"158","3","2",1133
"158","3","3",1175
"158","3","4",1145
"158","3","5",1144
"158","3","6",1111
"158","3","7",1112
"158","3","8",1115
"158","3","9",1133
"158","3","A",1115
"170","2","1",1209
"170","2","2",1128
"170","2","3",1212
"170","2","4",1124
"170","2","5",1119
"170","2","6",1118
"170","2","7",1112
"170","2","8",1113
"170","2","9",1113
"170","2","A",1111
"170","1","1",1266
"170","1","2",1137
"170","1","3",1208
"170","1","4",1203
"170","1","5",1162
"170","1","6",1118
"170","1","7",1123
"170","1","8",1113
"170","1","9",1113
"170","1","A",1112
"174","2","1",1115
"174","2","2",111
"174","2","3",1115
"174","2","5",111
"174","2","8",1111
"174","1","1",1145
"174","1","2",1125
"174","1","3",1126
"174","1","4",1133
"174","1","5",1115
"174","1","6",1112
"174","1","7",1111
"174","1","8",111
"174","1","9",111
"175","2","1",1118
"175","2","3",1112
